product_id,product_type,product_name,product_gender_target,product_category,product_season,product_condition,product_like_count,sold,brand_name,product_material,product_color,price_usd,seller_price,seller_earning,buyers_fees,seller_id,seller_country,seller_products_sold,seller_num_products_listed
40558845,Slim jean,Slim jean Balmain Grey size 29 US in Cotton ,Men,Men Clothing,All seasons,Very good condition,6,TRUE,Balmain,Cotton,Grey,196.68,163.9,134.4,,12364961,Germany,18,5
40556286,Leather vest,Leather vest Hermès Brown size 56 FR in Leather ,Men,Men Clothing,All seasons,Very good condition,2,TRUE,Hermès,Leather,Brown,1711.05,1402.17,1149.78,,21978479,Austria,17,31
40554151,Wool coat,Wool coat Boglioli Green size 52 IT in Wool ,Men,Men Clothing,Autumn / Winter,Very good condition,2,TRUE,Boglioli,Wool,Green,158.47,132.06,114.89,,19054026,Italy,8,5
40494925,Trenchcoat,Trenchcoat Burberry Beige size 54 IT in Cotton ,Men,Men Clothing,All seasons,Very good condition,4,TRUE,Burberry,Cotton,Beige,194.94,159.75,138.98,,10660159,Italy,3,1
40481292,Shirt,Shirt Issey Miyake White size XL International in Polyester ,Men,Men Clothing,All seasons,"Never worn, with tag",34,TRUE,Issey Miyake,Polyester,White,226.93,189.11,155.07,,20211488,Germany,5,2
40525642,Wool vest,Wool vest Corneliani Khaki size 48 IT in Wool ,Men,Men Clothing,Autumn / Winter,Never worn,2,TRUE,Corneliani,Wool,Khaki,41.8,34.84,20.99,,6357056,Italy,12,1
40517816,Wool jacket,Wool jacket Hermès Black size L International in Wool ,Men,Men Clothing,Autumn / Winter,"Never worn, with tag",12,TRUE,Hermès,Wool,Black,2420,2200,2134,,13003815,United States,226,62
40506691,T-shirt,T,Men,Men Clothing,All seasons,"Never worn, with tag",25,TRUE,John Galliano,Polyamide,Multicolour,168.95,138.45,121.84,,17815863,Italy,1606,3597
40509834,Jacket,Jacket Levi's Blue size S International in Cotton ,Men,Men Clothing,All seasons,Good condition,3,TRUE,Levi's,Cotton,Blue,38.34,31.95,18.11,,21654035,Italy,62,76
40509490,Jacket,Jacket Burberry Multicolour size S International in Polyamide ,Men,Men Clothing,All seasons,"Never worn, with tag",4,TRUE,Burberry,Polyamide,Multicolour,655.46,546.22,529.83,,10752372,United Kingdom,2,3
40506317,Leather jacket,Leather jacket Berluti Khaki size XS International in Leather ,Men,Men Clothing,All seasons,Very good condition,13,TRUE,Berluti,Leather,Khaki,1461,1461,1227.24,,15886961,United States,4144,4780
